# the 68000/ST exception vectors, $000-$3FF
# address  vector  name                          value
  $2AC     171     -                             $00000000
  $2B0     172     -                             $00000000
  $2B4     173     -                             $00000000
  $2B8     174     -                             $00000000
  $2BC     175     -                             $00000000
  $2C0     176     -                             $00000000
  $2C4     177     -                             $00000000
  $2C8     178     -                             $00000000
  $2CC     179     -                             $00000000
  $2D0     180     -                             $00000000
  $2D4     181     -                             $00000000
  $2D8     182     -                             $00000000
  $2DC     183     -                             $00000000
  $2E0     184     -                             $00000000
  $2E4     185     -                             $00000000
  $2E8     186     -                             $00000000
  $2EC     187     -                             $00000000
  $2F0     188     -                             $00000000
  $2F4     189     -                             $00000000
  $2F8     190     -                             $00000000
  $2FC     191     -                             $00000000
  $300     192     -                             $00000000
  $304     193     -                             $00000000
  $308     194     -                             $00000000
  $30C     195     -                             $00000000
  $310     196     -                             $00000000
  $314     197     -                             $00000000
  $318     198     -                             $00000000
  $31C     199     -                             $00000000
  $320     200     -                             $00000000
  $324     201     -                             $00000000
  $328     202     -                             $00000000
  $32C     203     -                             $00000000
  $330     204     -                             $00000000
  $334     205     -                             $00000000
  $338     206     -                             $00000000
  $33C     207     -                             $00000000
  $340     208     -                             $00000000
  $344     209     -                             $00000000
  $348     210     -                             $00000000
  $34C     211     -                             $00000000
  $350     212     -                             $00000000
  $354     213     -                             $00000000
  $358     214     -                             $00000000
  $35C     215     -                             $00000000
  $360     216     -                             $00000000
  $364     217     -                             $00000000
  $368     218     -                             $00000000
  $36C     219     -                             $00000000
  $370     220     -                             $00000000
  $374     221     -                             $00000000
  $378     222     -                             $00000000
  $37C     223     -                             $00000000
  $380     224     -                             $00000000
  $384     225     -                             $00000000
  $388     226     -                             $00000000
  $38C     227     -                             $00000000
  $390     228     -                             $00000000
  $394     229     -                             $00000000
  $398     230     -                             $00000000
  $39C     231     -                             $00000000
  $3A0     232     -                             $00000000
  $3A4     233     -                             $00000000
  $3A8     234     -                             $00000000
  $3AC     235     -                             $00000000
  $3B0     236     -                             $00000000
  $3B4     237     -                             $00000000
  $3B8     238     -                             $00000000
  $3BC     239     -                             $00000000
  $3C0     240     -                             $00000000
  $3C4     241     -                             $00000000
  $3C8     242     -                             $00000000
  $3CC     243     -                             $00000000
  $3D0     244     -                             $00000000
  $3D4     245     -                             $00000000
  $3D8     246     -                             $00000000
  $3DC     247     -                             $00000000
  $3E0     248     -                             $00000000
  $3E4     249     -                             $00000000
  $3E8     250     -                             $00000000
  $3EC     251     -                             $00000000
  $3F0     252     -                             $00000000
  $3F4     253     -                             $00000000
  $3F8     254     -                             $00000000
  $3FC     255     -                             $00000000
